Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jalen Johnson,ATL,23,31,17,14,36.5,19.9,7.9,15.5,50.9,1.4,4.2,33.1,2.7,3.6,74.8,1.8,8.4,10.2,5.4,3,1.5,1.1,2,45,18,1,2.8
Pascal Siakam,IND,30,33,16,17,33.8,19.8,7.5,14.5,52.2,1.9,4.4,43.8,2.8,3.6,78.2,1.6,5.5,7.2,3.4,1.4,1,0.3,2.9,35.9,5,0,0.6
Jamal Murray,DEN,27,25,13,12,36.7,19.8,7.1,16.2,44,2.2,5.9,36.5,3.4,4,84.2,0.5,3.7,4.2,6.4,2.3,1.5,0.7,1.8,38.7,4,0,4.5
Lauri Markkanen,UTA,27,26,5,21,31.9,19.6,6.1,13.8,43.9,2.9,7.8,37.1,4.6,5.2,88.8,1.8,4.5,6.3,1.9,1.5,0.7,0.2,1.6,31.3,2,0,-6.1
Jalen Green,HOU,22,32,21,11,32.5,19.3,6.7,16.4,40.7,2.5,7.7,32,3.5,4,86,0.5,3.9,4.4,2.6,2.5,1,0.3,1.6,29.9,1,0,2.8
Cameron Johnson,BKN,28,30,12,18,32.6,19.1,6.2,12.8,48.8,3.2,7.5,42.9,3.5,3.9,88.9,0.7,3.6,4.3,3.1,1.5,0.9,0.5,1.8,31.6,1,0,-2.4
Bradley Beal,PHX,31,21,10,11,34.4,19,7.4,15,49.4,2.3,6,38.9,1.8,2.3,77.1,0.8,3.1,3.9,3.1,2.3,1.2,0.8,2.8,31.9,0,0,-5
Alperen Sengun,HOU,22,32,21,11,31.3,18.9,7.5,15.2,49.1,0.3,1.5,22.9,3.7,4.8,76,3.5,7.3,10.8,5.1,2.4,1.2,1,2.8,43.6,22,3,6.8
Michael Porter Jr.,DEN,26,31,18,13,34.4,18.7,7.2,13.8,51.9,2.5,6.1,41.3,1.9,2.7,69.9,1.6,5,6.6,2.7,1.5,0.7,0.4,2.2,32.5,4,0,4.4
Jimmy Butler,MIA,35,20,11,9,31.3,18.5,6.1,11.1,55.2,0.5,1.4,35.7,5.8,7.4,78.2,2.6,3.2,5.8,4.9,1.3,1.3,0.4,1,36.3,2,1,4.4
Evan Mobley,CLE,23,30,26,4,30.2,18.4,7.1,12.4,57,1.1,2.5,42.7,3.2,4.1,77.9,2.1,6.7,8.8,2.9,2.2,1,1.5,2.2,38.7,13,0,9.3
Kristaps Porzi??is,BOS,29,11,6,5,27.2,18.3,6.1,13.5,45.3,2,6.1,32.8,4.1,4.8,84.9,1.4,5,6.4,1.6,0.7,0.7,1.5,2.2,34.2,0,0,2.6
Shaedon Sharpe,POR,21,23,8,15,30.7,18.1,6.7,14.7,45.9,1.9,6.2,30.1,2.7,3.4,80.8,0.7,2.9,3.6,2.6,1.6,0.8,0.3,1.7,28,0,0,-4.7
Mikal Bridges,NYK,28,33,23,10,39.1,18,7.4,14.8,50.1,2.4,6.7,36.2,0.8,1.1,71.4,0.9,2.4,3.3,3.4,1.6,1.2,0.5,1.4,30.6,0,0,7.4
Coby White,CHI,24,31,13,18,32.9,18,6.1,14.4,42.1,3,8.5,35.2,2.8,3.2,88,0.4,3.2,3.6,4.6,2.4,1.1,0.2,2.5,30.7,1,0,-2.9
Miles Bridges,CHA,26,19,4,15,30.6,17.9,6.5,15.4,42.1,1.9,6.8,27.7,3.1,3.5,89.4,0.9,6.8,7.7,3.6,1.8,0.6,0.6,1.3,34.3,3,0,-5.4
Tyrese Haliburton,IND,24,33,16,17,35.2,17.8,6.1,14,43.7,2.9,8.3,34.9,2.6,3.1,85.3,0.7,2.9,3.6,8.7,1.9,1.2,0.5,1.4,38.4,12,0,-0.1
Austin Reaves,LAL,26,26,16,10,34.4,17.7,6,13.6,44.4,2.7,7.3,36.3,3,3.7,79.4,0.8,3.3,4.2,5.5,2.4,1,0.2,2.2,32.1,2,1,0.6
John Collins,UTA,27,26,7,19,30,17.7,6.5,12.3,52.3,1.4,3.3,42.4,3.4,3.9,87.1,2.2,6,8.2,2.5,2.6,1.1,0.8,2.9,34.6,8,0,-2.3
Gradey Dick,TOR,21,27,4,23,31.7,17.6,6,14.3,41.6,2.4,6.9,34.8,3.3,3.7,88.9,0.9,2.7,3.5,2.1,1.8,1,0.2,2.4,26.8,0,0,-3.2
Jaden Ivey,DET,22,29,13,16,30,17.4,6.3,13.9,45.3,2,5.1,39.2,2.9,3.9,73.7,1.4,2.9,4.2,4,2.9,0.9,0.4,2.3,29.5,0,0,-2.4
Collin Sexton,UTA,25,31,7,24,28.4,17.4,6.3,12.9,48.4,1.9,4.5,42.4,3,3.4,89.4,0.9,1.7,2.6,3.8,2.6,0.8,0.1,2.3,26.3,1,0,-2.4
Anfernee Simons,POR,25,28,9,19,31.3,17.2,6.1,14.9,40.9,2.5,7.6,32.7,2.5,2.8,90.9,0.3,2.3,2.6,4.9,2.4,1,0.1,1.9,28.5,1,0,-7.3
Derrick White,BOS,30,31,23,8,34.4,16.9,5.8,12.9,44.6,3.5,9.1,38.5,1.8,2.1,84.8,1,3.6,4.6,4.6,1.7,1,1.1,2.2,33.9,1,0,7
Jonathan Kuminga,GSW,22,30,16,14,26.4,16.8,6.1,13.5,44.8,1.2,3.7,31.8,3.5,5.4,64.2,1.5,3.6,5.1,2.1,1.5,0.9,0.6,2,29.1,2,0,-0.3
Malik Beasley,DET,28,32,14,18,28.1,16.7,5.8,13.5,43.4,3.9,9.3,41.8,1.1,1.5,70.8,0.6,2.5,3,1.9,1,0.8,0.1,1.3,24.6,1,0,1
Bennedict Mathurin,IND,22,33,16,17,32.9,16.6,5.6,12.2,45.9,1.4,3.9,36.4,3.9,4.7,84.4,1.3,4.9,6.2,1.8,2,0.7,0.4,2.7,27.8,5,0,0.5
Jalen Suggs,ORL,23,32,18,14,29.4,16.5,5.7,13.9,41,2.2,7,30.9,2.9,3.2,91.3,0.7,3.5,4.2,3.8,3,1.4,1,2.8,31.5,0,0,-0.3
